#separator:tab
#html:true
#columns:Key	Component	Pinyin	Meaning	MemberChars	SameSyllableChars	Reliability	Productivity	Frequency	Decomposition	CrossRefs	Note	Link	Audio	Tags
#tags column:15
工:gong3	工	gǒng	work / worker / skill / profession / trade / craft / labor	巩鞏汞銾	功攻贡貢	8/31 (ignoring tone)	121	118	once:一+丄	gōng / 功攻		https://hanzicraft.com/dashboard/character/%E5%B7%A5%E5%B7%A9%E9%9E%8F%E6%B1%9E%E9%8A%BE	[sound:pronunciation_zh_工.mp3]	phonetic-component
方:fang1	方	fāng	square / power or involution (mathematics) / upright / honest / fair and square / direction / side / party (to a contract, dispute etc) / place / method / prescription (medicine) / just when / only or just / classifier for square things / abbr. for square or cubic meter	芳坊钫鈁枋	放房防访仿妨纺肪舫鲂髣訪	19/38 (ignoring tone)	86	60	once:亠+?		Note similarity to 万, which means ten<br>thousand.<br>Exceptions (different sound): 旁斿族敫於旋	https://hanzicraft.com/dashboard/character/%E6%96%B9%E8%8A%B3%E5%9D%8A%E9%92%AB%E9%88%81%E6%9E%8B	[sound:pronunciation_zh_方.mp3]	phonetic-component
立:li4	立	lì	to stand / to set up / to establish / to lay down / to draw up / at once / immediately	粒笠莅蒞		7/37	114	197	once:亠+䒑		Exceptions (different sound): 咅亲章童产妾<br>Also related: 位	https://hanzicraft.com/dashboard/character/%E7%AB%8B%E7%B2%92%E7%AC%A0%E8%8E%85%E8%92%9E	[sound:pronunciation_zh_立.mp3]	phonetic-component
羊:yang2	羊	yáng	sheep / CL:頭|头[tou2],隻|只[zhi1]	洋佯烊蛘徉	样养氧痒漾恙養	6/51 · 10/51 (ignoring tone)	102	1335	once:?+丷		Variant: ⺶，⺷<br>Exceptions (different sound): 羔差善菐美鲜義	https://hanzicraft.com/dashboard/character/%E7%BE%8A%E6%B4%8B%E4%BD%AF%E7%83%8A%E8%9B%98%E5%BE%89	[sound:pronunciation_zh_羊.mp3]	phonetic-component
皮:pi2	皮	pí	leather / skin / fur / CL:張|张[zhang1] / pico- (one trillionth) / naughty	疲陂铍鲏鮍	披髲	6/27	31	740	once:?+又			https://hanzicraft.com/dashboard/character/%E7%9A%AE%E7%96%B2%E9%99%82%E9%93%8D%E9%B2%8F%E9%AE%8D	[sound:pronunciation_zh_皮.mp3]	phonetic-component
耳:er3	耳	ěr	ear / handle (archaeology) / and that is all (classical Chinese)	铒饵餌洱珥	佴		110	885	once:㔿+二		Exceptions (different sound): 取<br>6/19 on the right	https://hanzicraft.com/dashboard/character/%E8%80%B3%E9%93%92%E9%A5%B5%E9%A4%8C%E6%B4%B1%E7%8F%A5	[sound:pronunciation_zh_耳.mp3]	phonetic-component
辛:xin1	辛	xīn	(of taste) hot or pungent / hard / laborious / suffering / eighth of the ten heavenly stems 十天干 / eighth in order / octa	莘锌鋅		4/19	49	1461	once:立+十		Exceptions (different sound): 辟	https://hanzicraft.com/dashboard/character/%E8%BE%9B%E8%8E%98%E9%94%8C%E9%8B%85	[sound:pronunciation_zh_辛.mp3]	phonetic-component
青:qing1	青	qīng	nature's color / green or blue / greenish black / youth / young (of people) / abbr. for Qinghai province 青海	清蜻鲭鯖	情请晴氰請箐碃	6/30 · 13/30 (ignoring tone)	31	497	once:龶+月	jīng / 精睛菁腈鼱 · jìng / 静靖靓婧靜		https://hanzicraft.com/dashboard/character/%E9%9D%92%E6%B8%85%E8%9C%BB%E9%B2%AD%E9%AF%96	[sound:pronunciation_wuu_青.mp3]	phonetic-component
里:li3	里	lǐ	li (Chinese mile) / 500 meters (modern) / home / hometown / village / neighborhood / administrative unit	理哩鲤鯉俚	厘狸喱釐貍	11/26 · 16/26 (ignoring tone)	52	50	once:田+土		Exceptions (different sound): 童㢆重	https://hanzicraft.com/dashboard/character/%E9%87%8C%E7%90%86%E5%93%A9%E9%B2%A4%E9%AF%89%E4%BF%9A	[sound:pronunciation_zh_里.mp3]	phonetic-component
户:hu4	户	hù	a household / door / family	护沪滬扈戽		6/26	54	799	once:尸+丶		Variant: 戶<br>Note similarity to 尸, which means<br>corpse.<br>Exceptions (different sound): 扁戾	https://hanzicraft.com/dashboard/character/%E6%88%B7%E6%8A%A4%E6%B2%AA%E6%BB%AC%E6%89%88%E6%88%BD	[sound:pronunciation_zh_户.mp3]	phonetic-component
衣:yi1	衣	yī	to dress / to wear / to put on (clothes)	依铱銥	裔		185	724	once:亠+𧘇		Variant: 衤	https://hanzicraft.com/dashboard/character/%E8%A1%A3%E4%BE%9D%E9%93%B1%E9%8A%A5	[sound:pronunciation_yue_衤.mp3]	phonetic-component
阿:a1	阿	ā	prefix used before monosyllabic names, kinship terms etc to indicate familiarity / used in transliteration / also pr. [a4]	啊锕錒		4/5	4	471	once:阝+可;radical:阝+一+亅+口			https://hanzicraft.com/dashboard/character/%E9%98%BF%E5%95%8A%E9%94%95%E9%8C%92	[sound:a1.mp3]	phonetic-component
愛:ai4	愛	ài	to love / affection / to be fond of / to like	噯曖嬡璦			3	394	once:?+夂;radical:爫+冖+心+夂			https://hanzicraft.com/dashboard/character/%E6%84%9B%E5%99%AF%E6%9B%96%E5%AC%A1%E7%92%A6	[sound:ai4.mp3]	phonetic-component
爱:ai4	爱	ài	to love / affection / to be fond of / to like	嗳暧嫒瑷		5/5	4	394	once:?+友;radical:爫+冖+𠂇+又			https://hanzicraft.com/dashboard/character/%E7%88%B1%E5%97%B3%E6%9A%A7%E5%AB%92%E7%91%B7	[sound:ai4.mp3]	phonetic-component
