#separator:tab
#html:true
#columns:Map	Name	Name in simplified Chinese	Name in traditional Chinese	Name in pinyin	Pronunciation	Capital	Capital in simplified Chinese	Capital in pinyin	Capital audio	Etymology	Tags
#tags column:12
<img src="Anhui.png">	Anhui	安徽	安徽	Ān huī	[sound:Zh-Anhui.ogg]	Hefei	合肥	Hé féi		<div>安 ān - Anqing</div><div>徽 huī - Huizhou (now Huangshan city)</div>	china-geography province
<img src="Chongqing.png" />	Chongqing	重庆	重慶	Chóng qìng	[sound:Zh-Chongqing.ogg]					double celebration or celebrate again	china-geography municipality
<img src="Fujian.png" />	Fujian	福建	福建	Fú jiàn	[sound:Zh-Fujian.ogg]	Fuzhou	福州	Fú zhōu		<div>福 fú – Fuzhou</div><div>建 jiàn – Jianzhou (today's Jian'ou)</div>	china-geography province
<img src="Gansu.png" />	Gansu	甘肃	甘肅	Gān sù	[sound:Zh-Gansu.ogg]	Lanzhou	兰州	Lán zhōu		<div>甘 gān - Ganzhou District, Zhangye</div><div>肃 sù - Suzhou District, Jiuquan</div>	china-geography province
<img src="Guangdong.png" />	Guangdong	广东	廣東	Guǎng dōng	[sound:Zh-Guangdong.ogg]	Guangzhou	广州	Guǎng zhōu		<div>广 guǎng - "Wide"</div><div>东 dōng- "East"</div><div>Lit. "The Eastern Expanse"</div><div>(Guangxi being West)</div>	china-geography province
<img src="Guangxi.png" />	Guangxi	广西	廣西	Guǎng xī		Nanning	南宁	Nán níng		<div>Abbreviated from "Guangnan Xi Lu" (A "lu" was equal to a province or a state in the Song Dynasty)</div><div>广 = wide</div><div>西 = west</div><div>literally, "The Western Expanse" (Guangdong being East)</div>	china-geography autonomous-region
<img src="Guizhou.png" />	Guizhou	贵州	貴州	Guì zhōu	[sound:Zh-Guizhou.ogg]	Guiyang	贵阳	Guì yáng		<div>贵 guì - Gui Mountains</div><div>州 zhōu - zhou (prefecture)</div>	china-geography province
<img src="Hainan.png" />	Hainan	海南	海南	Hǎi nán	[sound:Zh-Hainan.ogg]	Haikou	海口	Hǎi kǒu		<div>海 hǎi – sea</div><div>南 nán – south</div><div>"South of the Sea [Qiongzhou Strait]"</div>	china-geography province
<img src="Hebei.png" />	Hebei	河北	河北	Hé běi	[sound:Zh-Hebei.ogg]	Shijiazhuang	石家庄	Shí jiā zhuāng		<div>河 hé—"(Yellow) River"</div><div>北 běi—"north"</div><div>"north of the Yellow River"</div>	china-geography province
<img src="Heilongjiang.png" />	Heilongjiang	黑龙江	黑龍江	Hēi lóng jiāng	[sound:Zh-Heilongjiang.ogg]	Harbin	哈尔滨	Hā ěr bīn		<div>黑 hēi—black</div><div>龙 lóng—dragon</div><div>江 jiāng—river</div><div>"Amur River"</div><div>Official form: 黑龙江省 (-shěng, &ldquo;province&rdquo;).</div>	china-geography province
<img src="Henan.png" />	Henan	河南	河南	Hé nán	[sound:Zh-Henan.ogg]	Zhengzhou	郑州	Zhèng zhōu		<div>河 hé - (Yellow) River</div><div>南 nán - south</div><div>"south of the Yellow River"</div>	china-geography province
<img src="Hong_Kong.png" />	Hong Kong	香港	香港	Xiāng gǎng	[sound:xianggang.ogg]					fragrant harbour	china-geography sar
<img src="Hubei.png" />	Hubei	湖北	湖北	Hú běi	[sound:Zh-Hubei.ogg]	Wuhan	武汉	Wǔ hàn		<div>湖 hú - lake</div><div>北 běi - north</div><div>"north of Lake Dongting"</div>	china-geography province
<img src="Hunan.png" />	Hunan	湖南	湖南	Hú nán	[sound:Zh-Hunan.ogg]	Changsha	长沙	Cháng shā		<div>湖 hú - lake</div><div>南 nán - south</div><div>"south of the lake "</div>	china-geography province
<img src="Inner_Mongolia.png" />	Inner Mongolia	内蒙古	内蒙古	Nèi měng gǔ		Hohhot	呼和浩特	Hū hé hào tè		From the Mongolian öbür monggol, where öbür means the front, sunny side of natural barrier (a mountain, mountain range, lake or desert)	china-geography autonomous-region
<img src="Jiangsu.png" />	Jiangsu	江苏	江蘇	Jiāng sū	[sound:Zh-Jiangsu.ogg]	Nanjing	南京	Nán jīng		<div>江 jiāng - Jiangning (now Nanjing)</div><div>苏 sū - Suzhou</div>	china-geography province
<img src="Jiangxi.png" />	Jiangxi	江西	江西	Jiāng xī	[sound:Zh-Jiangxi.ogg]	Nanchang	南昌	Nán chāng		<div>Contraction of:</div><div>江南西; Jiāngnán Xī</div><div>"The western Jiangnan"</div>	china-geography province
<img src="Jilin.png" />	Jilin	吉林	吉林	Jí lín	[sound:Zh-Jilin.ogg]	Changchun	长春	Cháng chūn		from girin ula, a Manchu phrase meaning "along the river"	china-geography province
<img src="Liaoning.png" />	Liaoning	辽宁	遼寧	Liáo níng	[sound:Zh-Liaoning.ogg]	Shenyang	沈阳	Shěn yáng		Peace forever for the Liao River watershed	china-geography province
<img src="Macau.png" />	Macau	澳门	澳門	Ào mén						Perhaps from the A-Ma Temple (Chinese: 媽閣廟; Mandarin Pinyin: Māgé Miào), a temple built in 1448 dedicated to Matsu – the goddess of seafarers and fishermen.<div>The present Chinese name (Chinese: 澳門; Mandarin Pinyin: Àomén) means "Inlet Gates".</div>	china-geography sar
<img src="Ningxia.png" />	Ningxia	宁夏	寧夏	Níng xià	[sound:Ning2xia4.ogg]	Yinchuan	银川	Yín chuān		<div>宁 níng—tranquil</div><div>夏 xià—Western Xia</div><div>"Tranquil Xia"</div>	china-geography autonomous-region
<img src="Qinghai.png" />	Qinghai	青海	青海	Qīng hǎi	[sound:Zh-Qinghai.ogg]	Xining	西宁	Xī níng		<div>From Khoshut Oirat Köknuur:</div><div>Köke - blue</div><div>Nuur - Lake</div><div>"blue lake" (Qinghai Lake)</div><div>In Chinese:</div><div>青 qīng - cyan</div><div>海 hǎi - sea</div><div>"qing (blue/green/black) sea"</div>	china-geography province
<img src="Shaanxi.png" />	Shaanxi	陕西	陝西	Shǎn xī	[sound:Zh-Shaanxi.ogg]	Xi'an	西安	Xī ān		<div>陕 shǎn - Shanzhou (now Shan County, Henan)</div><div>西 xī - west</div><div>"west of Shanzhou"</div>	china-geography province
<img src="Shandong.png" />	Shandong	山东	山東	Shān dōng	[sound:Zh-Shandong.ogg]	Jinan	济南	Jǐ nán		<div>山 shān – mountain</div><div>东 dōng &nbsp;– east</div><div>"east of the Taihang Mountains"</div>	china-geography province
<img src="Shanghai.png" />	Shanghai	上海	上海	Shàng hǎi	[sound:Zh-Shanghai.ogg]					上&nbsp;<span style=" font-style: normal; font-weight: normal;">– above</span><div>海 – sea</div><div>"upon the sea"</div>	china-geography municipality
<img src="Shanxi.png" />	Shanxi	山西	山西	Shān xī	[sound:Zh-Shanxi.ogg]	Taiyuan	太原	Tài yuán		<div>山 shān - mountain</div><div>西 xī - west</div><div>"west of the Taihang Mountains"</div>	china-geography province
<img src="Sichuan.png" />	Sichuan	四川	四川	Sì chuān	[sound:Zh-Sichuan.ogg]	Chengdu	成都	Chéng dū		<div>Short for 川峡四路 chuānxiá sìlù</div><div>literally "The Four Circuits</div><div>of the Rivers and Gorges",</div><div>referring to the four circuits during the Song Dynasty</div>	china-geography province
<img src="Tianjin.png" />	Tianjin	天津	天津	Tiān jīn	[sound:Zh-Tianjin.ogg]					<span style=" font-style: normal; font-weight: normal;">天&nbsp;</span><span style=" font-style: normal; font-weight: normal;">–&nbsp;</span>sky<div></div><div>津&nbsp;– ferry</div>	china-geography municipality
<img src="Tibet.png" />	Tibet	西藏	西藏	Xī zàng		Lhasa	拉萨	Lā sà		Disputed (Tibet names in European languages are loanwords from Arabic Tibat or Tobatt and Persian Tubbat)<div>Official form: 西藏自治区 Xīzàng Zìzhìqū (&ldquo;autonomous region&rdquo;).</div>	china-geography autonomous-region
<img src="Xinjiang.png" />	Xinjiang	新疆	新疆	Xīn jiāng		Ürümqi	乌鲁木齐	Wū lǔ mù qí		<div>新 xīn – new</div><div>疆 jiāng – frontier</div><div>"new frontier"</div>	china-geography autonomous-region
<img src="Yunnan.png" />	Yunnan	云南	雲南	Yún nán	[sound:Zh-Yunnan.ogg]	Kunming	昆明	Kūn míng		<div>云 yún – Yunling Mountains</div><div>南 nán – south</div><div>"South of the Yunling Mountains"</div>	china-geography province
<img src="Zhejiang.png" />	Zhejiang	浙江	浙江	Zhè jiāng	[sound:Zh-Zhejiang.ogg]	Hangzhou	杭州	Háng zhōu		<div>折江 - "crooked river"</div><div>Now the river's name is&nbsp;Qiantang River,&nbsp;in honour of the kings of Wuyue</div>	china-geography province
<img src="Beijing.png" />	Beijing	北京	北京	Běi jīng	[sound:Zh-Beijing.ogg]					北 - north<div>京 - capital</div><div>"Northern Capital"</div>	china-geography municipality
