#separator:tab
#html:true
#columns:Key	SongSlug	LineNo	HanziPlain	Pinyin	English	Breakdown	Audio	PrevHanzi	PrevAudio	Tags
#tags column:11
bu_pa_bu_pa_001	bu_pa_bu_pa	1	HELLO 看我你在害怕什么	kàn wǒ nǐ zài hài pà shén me	Hello, look at me — what are you so afraid of?	看 (see) 我 (i) 你 (you) 在 (at) 害 (do harm to) 怕 (afraid) 什 (what) 么 (suffix)	[sound:bu_pa_bu_pa_001.mp3]			song song-bu-pa-bu-pa artist-jocie-kok line-001
bu_pa_bu_pa_002	bu_pa_bu_pa	2	是我错没能够啊把自己变得成熟	shì wǒ cuò méi néng gòu a bǎ zì jǐ biàn dé chéng shú	It's my fault, I couldn't make myself grow up.	是 (be) 我 (i) 错 (mistake) 没 (not) 能 (can) 够 (enough) 啊 (ah!) 把 (hold) 自 (self) 己 (self) 变 (change) 得 (particle) 成 (succeed) 熟 (ripe)	[sound:bu_pa_bu_pa_002.mp3]	HELLO 看我你在害怕什么	[sound:bu_pa_bu_pa_001.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-002
bu_pa_bu_pa_003	bu_pa_bu_pa	3	伤口那么多已经不怕再痛	shāng kǒu nà me duō yǐ jīng bù pà zài tòng	So many wounds already, I'm not afraid of more pain.	伤 (injure) 口 (mouth) 那 (that) 么 (suffix) 多 (many) 已 (already) 经 (classics) 不 (no) 怕 (afraid) 再 (again) 痛 (ache)	[sound:bu_pa_bu_pa_003.mp3]	是我错没能够啊把自己变得成熟	[sound:bu_pa_bu_pa_002.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-003
bu_pa_bu_pa_004	bu_pa_bu_pa	4	没什么转身以后我会练成护体神功	méi shén me zhuǎn shēn yǐ hòu wǒ huì liàn chéng hù tǐ shén gōng	It's nothing — once I turn around, I'll master my body-shielding kung fu.	没 (not) 什 (what) 么 (suffix) 转 (turn) 身 (body) 以 (use) 后 (after) 我 (i) 会 (can) 练 (practice) 成 (succeed) 护 (protect) 体 (body) 神 (god) 功 (skill)	[sound:bu_pa_bu_pa_004.mp3]	伤口那么多已经不怕再痛	[sound:bu_pa_bu_pa_003.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-004
bu_pa_bu_pa_005	bu_pa_bu_pa	5	看见蟑螂我不怕不怕啦	kàn jiàn zhāng láng wǒ bù pà bù pà la	I see a cockroach — not scared, not scared!	看 (see) 见 (see) 蟑 (cockroach) 螂 (cockroach) 我 (i) 不 (no) 怕 (afraid) 啦 (particle)	[sound:bu_pa_bu_pa_005.mp3]	没什么转身以后我会练成护体神功	[sound:bu_pa_bu_pa_004.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-005
bu_pa_bu_pa_006	bu_pa_bu_pa	6	我神经比较大不怕不怕不怕啦	wǒ shén jīng bǐ jiào dà bù pà bù pà bù pà la	My nerves are pretty tough — not scared, not scared, not scared!	我 (i) 神 (god) 经 (classics) 比 (compare) 较 (compare) 大 (big) 不 (no) 怕 (afraid) 啦 (particle)	[sound:bu_pa_bu_pa_006.mp3]	看见蟑螂我不怕不怕啦	[sound:bu_pa_bu_pa_005.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-006
bu_pa_bu_pa_007	bu_pa_bu_pa	7	胆怯只会让自己更憔悴	dǎn qiè zhǐ huì ràng zì jǐ gèng qiáo cuì	Being timid only leaves you more worn out.	胆 (gall bladder) 怯 (timid) 只 (only) 会 (can) 让 (let) 自 (self) 己 (self) 更 (more) 憔 (haggard) 悴 (haggard)	[sound:bu_pa_bu_pa_007.mp3]	我神经比较大不怕不怕不怕啦	[sound:bu_pa_bu_pa_006.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-007
bu_pa_bu_pa_008	bu_pa_bu_pa	8	麻痹也是勇敢表现	má bì yě shì yǒng gǎn biǎo xiàn	Going numb to it is its own kind of courage.	麻 (hemp) 痹 (paralysis) 也 (also) 是 (be) 勇 (brave) 敢 (dare) 表 (exterior surface) 现 (appear)	[sound:bu_pa_bu_pa_008.mp3]	胆怯只会让自己更憔悴	[sound:bu_pa_bu_pa_007.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-008
bu_pa_bu_pa_009	bu_pa_bu_pa	9	一个人睡也不怕不怕啦	yí gè rén shuì yě bù pà bù pà la	Even sleeping alone — not scared, not scared!	一 (one) 个 (individual) 人 (person) 睡 (sleep) 也 (also) 不 (no) 怕 (afraid) 啦 (particle)	[sound:bu_pa_bu_pa_009.mp3]	麻痹也是勇敢表现	[sound:bu_pa_bu_pa_008.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-009
bu_pa_bu_pa_010	bu_pa_bu_pa	10	勇气当棉被不怕不怕不怕啦	yǒng qì dāng mián bèi bù pà bù pà bù pà la	Courage as my quilt — not scared, not scared, not scared!	勇 (brave) 气 (air) 当 (treat as) 棉 (cotton) 被 (quilt) 不 (no) 怕 (afraid) 啦 (particle)	[sound:bu_pa_bu_pa_010.mp3]	一个人睡也不怕不怕啦	[sound:bu_pa_bu_pa_009.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-010
bu_pa_bu_pa_011	bu_pa_bu_pa	11	夜晚再黑我就当看不见	yè wǎn zài hēi wǒ jiù dāng kàn bú jiàn	However dark the night gets, I'll just act like I can't see.	夜 (night) 晚 (evening) 再 (again) 黑 (black) 我 (i) 就 (just) 当 (treat as) 看 (see) 不 (no) 见 (see)	[sound:bu_pa_bu_pa_011.mp3]	勇气当棉被不怕不怕不怕啦	[sound:bu_pa_bu_pa_010.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-011
bu_pa_bu_pa_012	bu_pa_bu_pa	12	太阳一定就快出现	tài yáng yí dìng jiù kuài chū xiàn	The sun is sure to show up soon.	太 (highest) 阳 (sun) 一 (one) 定 (fix) 就 (just) 快 (rapid) 出 (out) 现 (appear)	[sound:bu_pa_bu_pa_012.mp3]	夜晚再黑我就当看不见	[sound:bu_pa_bu_pa_011.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-012
bu_pa_bu_pa_015	bu_pa_bu_pa	15	伤口那么多没地方可以再受伤了	shāng kǒu nà me duō méi dì fāng kě yǐ zài shòu shāng le	So many wounds, there's no room left to get hurt again.	伤 (injure) 口 (mouth) 那 (that) 么 (suffix) 多 (many) 没 (not) 地 (earth) 方 (square) 可 (can) 以 (use) 再 (again) 受 (endure) 了 (particle)	[sound:bu_pa_bu_pa_015.mp3]	是我错没能够啊把自己变得成熟	[sound:bu_pa_bu_pa_014.mp3]	song song-bu-pa-bu-pa artist-jocie-kok line-015
