#separator:tab
#html:true
#columns:Key	SongSlug	LineNo	HanziPlain	Pinyin	English	Breakdown	Audio	PrevHanzi	PrevAudio	Tags
#tags column:11
ganma_001	ganma	1	八点半吃早餐就下楼	bā diǎn bàn chī zǎo cān jiù xià lóu	8:30, breakfast then head downstairs	八 (eight) 点 (o'clock) 半 (half) 吃 (eat) 早 (early) 餐 (meal) 就 (just) 下 (down) 楼 (floor)	[sound:ganma_001.mp3]			song song-ganma artist-lexie-liu line-001
ganma_002	ganma	2	九点半就上班无厘头	jiǔ diǎn bàn jiù shàng bān wú lí tóu	9:30, off to nonsense work	九 (nine) 点 (o'clock) 半 (half) 就 (just) 上 (up) 班 (shift) 无 (without) 厘 (centi) 头 (head)	[sound:ganma_002.mp3]	八点半吃早餐就下楼	[sound:ganma_001.mp3]	song song-ganma artist-lexie-liu line-002
ganma_003	ganma	3	然后瘫桌子上明天还要上班	rán hòu tān zhuō zi shàng míng tiān hái yào shàng bān	Slumped on the desk — still gotta work tomorrow	然 (thus) 后 (after) 瘫 (paralyzed) 桌 (table) 子 (suffix) 上 (up) 明 (bright) 天 (sky) 还 (still) 要 (demand) 班 (shift)	[sound:ganma_003.mp3]	九点半就上班无厘头	[sound:ganma_002.mp3]	song song-ganma artist-lexie-liu line-003
ganma_004	ganma	4	八点半才下班没理由	bā diǎn bàn cái xià bān méi lǐ yóu	8:30 off work, no reason at all	八 (eight) 点 (o'clock) 半 (half) 才 (only) 下 (down) 班 (shift) 没 (not) 理 (reason) 由 (cause)	[sound:ganma_004.mp3]	然后瘫桌子上明天还要上班	[sound:ganma_003.mp3]	song song-ganma artist-lexie-liu line-004
ganma_005	ganma	5	九点半吃晚餐再洗头	jiǔ diǎn bàn chī wǎn cān zài xǐ tóu	9:30 dinner then wash my hair	九 (nine) 点 (o'clock) 半 (half) 吃 (eat) 晚 (evening) 餐 (meal) 再 (again) 洗 (wash) 头 (head)	[sound:ganma_005.mp3]	八点半才下班没理由	[sound:ganma_004.mp3]	song song-ganma artist-lexie-liu line-005
ganma_006	ganma	6	然后瘫沙发上明天还要上班	rán hòu tān shā fā shàng míng tiān hái yào shàng bān	Slumped on the couch — still gotta work tomorrow	然 (thus) 后 (after) 瘫 (paralyzed) 沙 (granule) 发 (send) 上 (up) 明 (bright) 天 (sky) 还 (still) 要 (demand) 班 (shift)	[sound:ganma_006.mp3]	九点半吃晚餐再洗头	[sound:ganma_005.mp3]	song song-ganma artist-lexie-liu line-006
ganma_007	ganma	7	干嘛?不睡?周一的夜干嘛喝醉	gàn má bù shuì zhōu yī de yè gàn má hē zuì	Why not sleep? Why get drunk on a Monday night?	干 (do) 嘛 ((question)) 不 (no) 睡 (sleep) 周 (week) 一 (one) 的 (of) 夜 (night) 喝 (drink) 醉 (drunk)	[sound:ganma_007.mp3]	然后瘫沙发上明天还要上班	[sound:ganma_006.mp3]	song song-ganma artist-lexie-liu line-007
ganma_008	ganma	8	可我睡睡睡睡睡不着	kě wǒ shuì shuì shuì shuì shuì bù zhe	But I can't sleeeeeeep	可 (can) 我 (i) 睡 (sleep) 不 (no) 着 ((state-particle))	[sound:ganma_008.mp3]	干嘛?不睡?周一的夜干嘛喝醉	[sound:ganma_007.mp3]	song song-ganma artist-lexie-liu line-008
ganma_009	ganma	9	闭上眼睛连一秒钟都受不了	bì shàng yǎn jīng lián yī miǎo zhōng dōu shòu bù liǎo	Can't stand even one second with my eyes shut	闭 (close) 上 (up) 眼 (eye) 睛 (eye) 连 (even) 一 (one) 秒 (second) 钟 (clock) 都 (all) 受 (endure) 不 (no) 了 (particle)	[sound:ganma_009.mp3]	可我睡睡睡睡睡不着	[sound:ganma_008.mp3]	song song-ganma artist-lexie-liu line-009
ganma_010	ganma	10	干嘛?装睡?周一的夜一样要派对	gàn má zhuāng shuì zhōu yī de yè yī yàng yào pài duì	Why fake-sleep? Monday night still calls for a party	干 (do) 嘛 ((question)) 装 (pretend) 睡 (sleep) 周 (week) 一 (one) 的 (of) 夜 (night) 样 (manner) 要 (demand) 派 (send) 对 (right)	[sound:ganma_010.mp3]	闭上眼睛连一秒钟都受不了	[sound:ganma_009.mp3]	song song-ganma artist-lexie-liu line-010
ganma_011	ganma	11	因为睡睡睡睡睡不着	yīn wèi shuì shuì shuì shuì shuì bù zhe	Because I can't sleeeeeeep	因 (cause) 为 (for) 睡 (sleep) 不 (no) 着 ((state-particle))	[sound:ganma_011.mp3]	干嘛?装睡?周一的夜一样要派对	[sound:ganma_010.mp3]	song song-ganma artist-lexie-liu line-011
ganma_013	ganma	13	让我们开始今天的睡前冥想	ràng wǒ men kāi shǐ jīn tiān de shuì qián míng xiǎng	Let's start today's bedtime meditation	让 (let) 我 (i) 们 ((plural)) 开 (open) 始 (begin) 今 (now) 天 (sky) 的 (of) 睡 (sleep) 前 (front) 冥 (dark) 想 (think)	[sound:ganma_013.mp3]	闭上眼睛连一秒钟都受不了	[sound:ganma_012.mp3]	song song-ganma artist-lexie-liu line-013
ganma_014	ganma	14	首先,轻柔地闭上眼睛,将注意力放在缓慢的呼吸上。吸气	shǒu xiān qīng róu dì bì shàng yǎn jīng jiāng zhù yì lì fàng zài huǎn màn de hū xī shàng xī qì	First, gently close your eyes; bring your attention to your slow breathing. Inhale…	首 (first) 先 (before) 轻 (light) 柔 (soft) 地 (earth) 闭 (close) 上 (up) 眼 (eye) 睛 (eye) 将 ((will)) 注 (pour) 意 (meaning) 力 (force) 放 (release) 在 (at) 缓 (slow) 慢 (slow) 的 (of) 呼 (exhale) 吸 (inhale) 气 (air)	[sound:ganma_014.mp3]	让我们开始今天的睡前冥想	[sound:ganma_013.mp3]	song song-ganma artist-lexie-liu line-014
ganma_021	ganma	21	随便几点睡	suí biàn jǐ diǎn shuì	Whatever time I crash	随 (follow) 便 (convenient) 几 (how-many) 点 (o'clock) 睡 (sleep)	[sound:ganma_021.mp3]	闭上眼睛连一秒钟都受不了	[sound:ganma_020.mp3]	song song-ganma artist-lexie-liu line-021
ganma_022	ganma	22	管他呢无所谓	guǎn tā ne wú suǒ wèi	Whatever, who cares	管 (manage) 他 (he) 呢 ((question)) 无 (without) 所 (place) 谓 (call)	[sound:ganma_022.mp3]	随便几点睡	[sound:ganma_021.mp3]	song song-ganma artist-lexie-liu line-022
ganma_024	ganma	24	明天再说后悔	míng tiān zài shuō hòu huǐ	I'll deal with the regret tomorrow	明 (bright) 天 (sky) 再 (again) 说 (say) 后 (after) 悔 (regret)	[sound:ganma_024.mp3]	随便几点睡	[sound:ganma_023.mp3]	song song-ganma artist-lexie-liu line-024
ganma_025	ganma	25	头疼	tóu téng	Headache?	头 (head) 疼 (hurt)	[sound:ganma_025.mp3]	明天再说后悔	[sound:ganma_024.mp3]	song song-ganma artist-lexie-liu line-025
ganma_026	ganma	26	不疼	bù téng	Nah, no pain	不 (no) 疼 (hurt)	[sound:ganma_026.mp3]	头疼	[sound:ganma_025.mp3]	song song-ganma artist-lexie-liu line-026
