#separator:tab
#html:true
#columns:Key	SongSlug	LineNo	Hanzi	Pinyin	English	Breakdown	Audio	PrevHanzi	PrevAudio	Tags
#tags column:11
yi_jian_mei_001	yi_jian_mei	1	{{c1::真情}}像{{c2::草原}}广阔	zhēn qíng xiàng cǎo yuán guǎng kuò	True love is as vast as the grassland	真 (true) 情 (feeling) 像 (like) 草 (grass) 原 (plain) 广 (wide) 阔 (broad)	[sound:yi_jian_mei_001.mp3]			song song-yi-jian-mei artist-fei-yu-ching line-001
yi_jian_mei_002	yi_jian_mei	2	{{c1::层层}}{{c2::风雨}}不能{{c3::阻隔}}	céng céng fēng yǔ bù néng zǔ gé	Layer upon layer of wind and rain cannot block it	层 (layer) 风 (wind) 雨 (rain) 不 (no) 能 (can) 阻 (hinder) 隔 (separate)	[sound:yi_jian_mei_002.mp3]	真情像草原广阔	[sound:yi_jian_mei_001.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-002
yi_jian_mei_003	yi_jian_mei	3	总有{{c1::云开日出}}时候	zǒng yǒu yún kāi rì chū shí hòu	There always comes a time when the clouds part and the sun rises	总 (always) 有 (have) 云 (cloud) 开 (open) 日 (sun) 出 (out) 时 (time) 候 (wait)	[sound:yi_jian_mei_003.mp3]	层层风雨不能阻隔	[sound:yi_jian_mei_002.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-003
yi_jian_mei_004	yi_jian_mei	4	{{c1::万丈}}{{c2::阳光}}照耀你我	wàn zhàng yáng guāng zhào yào nǐ wǒ	Ten-thousand-zhang sunlight shines on you and me	万 (ten thousand) 丈 (ten feet) 阳 (sun) 光 (light) 照 (shine) 耀 (brilliant) 你 (you) 我 (i)	[sound:yi_jian_mei_004.mp3]	总有云开日出时候	[sound:yi_jian_mei_003.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-004
yi_jian_mei_005	yi_jian_mei	5	真情像{{c1::梅花}}{{c2::开过}}	zhēn qíng xiàng méi huā kāi guò	True love is like plum blossoms that once bloomed	真 (true) 情 (feeling) 像 (like) 梅 (plum) 花 (flower) 开 (open) 过 (past-particle)	[sound:yi_jian_mei_005.mp3]	万丈阳光照耀你我	[sound:yi_jian_mei_004.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-005
yi_jian_mei_006	yi_jian_mei	6	{{c1::冷冷}}{{c2::冰雪}}不能{{c3::掩没}}	lěng lěng bīng xuě bù néng yǎn méi	The coldest ice and snow cannot bury it	冷 (cold) 冰 (ice) 雪 (snow) 不 (no) 能 (can) 掩 (cover up) 没 (not)	[sound:yi_jian_mei_006.mp3]	真情像梅花开过	[sound:yi_jian_mei_005.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-006
yi_jian_mei_007	yi_jian_mei	7	就在最冷{{c2::枝头}}{{c1::绽放}}	jiù zài zuì lěng zhī tóu zhàn fàng	On the very coldest branch it bursts into bloom	就 (just) 在 (at) 最 (most) 冷 (cold) 枝 (branch) 头 (head) 绽 (burst open) 放 (release)	[sound:yi_jian_mei_007.mp3]	冷冷冰雪不能掩没	[sound:yi_jian_mei_006.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-007
yi_jian_mei_008	yi_jian_mei	8	看见{{c1::春天}}{{c2::走向}}你我	kàn jiàn chūn tiān zǒu xiàng nǐ wǒ	Seeing spring walking toward you and me	看 (see) 见 (see) 春 (spring) 天 (sky) 走 (walk) 向 (toward) 你 (you) 我 (i)	[sound:yi_jian_mei_008.mp3]	就在最冷枝头绽放	[sound:yi_jian_mei_007.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-008
yi_jian_mei_009	yi_jian_mei	9	{{c1::雪花}}飘飘{{c2::北风}}啸啸	xuě huā piāo piāo běi fēng xiào xiào	Snowflakes drift, the north wind howls	雪 (snow) 花 (flower) 飘 (float) 北 (north) 风 (wind) 啸 (howl)	[sound:yi_jian_mei_009.mp3]	看见春天走向你我	[sound:yi_jian_mei_008.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-009
yi_jian_mei_010	yi_jian_mei	10	{{c1::天地}}一片{{c2::苍茫}}	tiān dì yī piàn cāng máng	Heaven and earth — a single vast expanse	天 (sky) 地 (earth) 一 (one) 片 (stretch) 苍 (dark blue) 茫 (vast)	[sound:yi_jian_mei_010.mp3]	雪花飘飘北风啸啸	[sound:yi_jian_mei_009.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-010
yi_jian_mei_011	yi_jian_mei	11	{{c1::一剪}}{{c2::寒梅}}{{c3::傲立}}雪中	yī jiǎn hán méi ào lì xuě zhōng	A single sprig of cold plum stands proud in the snow	一 (one) 剪 (cut) 寒 (cold) 梅 (plum) 傲 (proud) 立 (stand) 雪 (snow) 中 (middle)	[sound:yi_jian_mei_011.mp3]	天地一片苍茫	[sound:yi_jian_mei_010.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-011
yi_jian_mei_012	yi_jian_mei	12	只为{{c2::伊人}}{{c1::飘香}}	zhǐ wèi yī rén piāo xiāng	Only for that beloved one does it spread its fragrance	只 (only) 为 (for) 伊 (that) 人 (person) 飘 (float) 香 (fragrant)	[sound:yi_jian_mei_012.mp3]	一剪寒梅傲立雪中	[sound:yi_jian_mei_011.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-012
yi_jian_mei_013	yi_jian_mei	13	{{c1::爱我所爱}}{{c2::无怨无悔}}	ài wǒ suǒ ài wú yuàn wú huǐ	I love what I love, with no complaint, no regret	爱 (love) 我 (i) 所 (place) 无 (without) 怨 (blame) 悔 (regret)	[sound:yi_jian_mei_013.mp3]	只为伊人飘香	[sound:yi_jian_mei_012.mp3]	song song-yi-jian-mei artist-fei-yu-ching line-013
